produkt,cena,ilosc,rng
Produkt D,427,11,0.69
Produkt C,286,19,0.5
Produkt E,74,38,0.94
Produkt B,386,19,0.93
Produkt C,156,32,0.4
Produkt D,353,72,0.73
Produkt C,293,88,0.52
Produkt A,652,98,0.77
Produkt A,575,40,0.83
I Do pieca,885,100,0.74
Produkt D,132,45,0.63
I Do pieca,953,63,0.8
Produkt E,671,86,0.1
Produkt E,326,3,0.53
Produkt C,112,36,0.52
Produkt B,879,98,0.77
Produkt E,335,3,0.31
Produkt D,223,75,0.22
I Do pieca,675,38,0.16
I Do pieca,954,27,0.17
Produkt A,607,14,0.94
Produkt B,465,40,0.33
Produkt C,620,91,0.19
Produkt B,668,98,0.39
Produkt B,945,23,0.04
Produkt A,106,50,0.99
Produkt D,329,67,0.58
Produkt D,9,52,0.98
Produkt A,981,97,0.39
Produkt A,231,22,0.35
Produkt C,157,17,0.75
67,361,71,0.05
Produkt D,171,98,0.39
Produkt C,954,68,0.43
Produkt E,866,58,0.68
Produkt C,830,60,0.55
Produkt C,702,6,0.97
Produkt D,937,9,0.2
Produkt D,10,84,0.68
Produkt E,710,10,0.42
Produkt C,803,52,0.27
Produkt B,424,15,0.41
Produkt E,324,52,0.9
Produkt B,292,48,0.65
I Do pieca,568,89,0.71
I Do pieca,751,42,0.08
Produkt C,535,24,0.46
Produkt C,211,27,0.87
Produkt B,301,95,0.87
Produkt D,715,67,0.33
Produkt B,364,85,0.97
Produkt B,643,9,0.55
Produkt A,199,62,0.33
Produkt A,395,37,0.86
Produkt D,611,25,0.2
Produkt C,271,89,0.42
Produkt C,932,95,0.69
67,99,Produkt D,1.0
Produkt D,172,76,0.49
Produkt D,141,99,0.15
Produkt E,706,61,0.11
Produkt A,780,81,0.61
Produkt A,455,27,0.72
Produkt D,114,29,0.37
Produkt D,387,17,0.6
Produkt D,838,Produkt C,0.99
Produkt A,596,20,0.53
Produkt D,960,89,0.48
Produkt E,512,60,0.11
67,876,91,0.64
Produkt E,726,99,0.41
Produkt A,808,72,0.57
I Do pieca,775,97,0.83
Produkt A,472,51,0.25
Produkt E,232,20,0.28
Produkt D,433,56,0.77
Produkt C,7,49,0.03
Produkt D,786,60,0.78
Produkt E,830,64,0.86
Produkt A,491,5,0.51
Produkt A,253,33,0.58
Produkt D,3,40,0.4
Produkt B,662,53,0.7
Produkt D,591,69,0.7
Produkt A,199,14,0.92
Produkt E,95,61,0.5
I Do pieca,40,44,0.09
Produkt A,399,1,0.56
Produkt E,752,24,0.95
Produkt E,518,25,0.18
Produkt D,413,93,0.38
Produkt B,781,64,0.7
Produkt B,823,24,0.54
Produkt B,941,100,0.24
Produkt D,607,28,0.94
Produkt E,717,33,0.61
Produkt D,317,56,0.19
Produkt A,479,72,0.83
Produkt D,533,34,0.33
Produkt C,168,38,0.53
Produkt C,891,15,0.57
Produkt B,72,69,0.45
Produkt D,748,45,0.92
Produkt C,130,34,0.61
Produkt E,951,63,0.95
Produkt E,239,30,0.53
Produkt A,150,20,0.92
67,749,35,0.58
Produkt B,101,38,0.92
Produkt E,17,80,0.11
I Do pieca,610,71,0.23
Produkt D,752,34,0.75
67,733,3,0.56
Produkt D,386,32,0.25
Produkt D,662,1,0.96
Produkt A,853,23,0.77
Produkt E,305,91,0.21
Produkt B,795,46,0.13
Produkt A,262,63,0.07
67,493,97,0.43
Produkt C,890,40,0.68
Produkt A,775,Produkt C,0.99
Produkt D,314,2,0.8
Produkt B,761,57,0.16
Produkt C,853,19,0.49
Produkt D,283,51,0.94
Produkt A,959,9,0.55
Produkt C,849,68,0.28
Produkt B,600,41,0.23
Produkt A,173,47,0.12
Produkt B,184,53,0.89
Produkt A,511,67,0.86
Produkt A,115,88,0.87
Produkt B,264,73,0.63
Produkt D,358,31,0.42
Produkt A,291,57,0.28
Produkt D,390,89,0.11
Produkt A,218,60,0.93
Produkt D,347,100,0.78
Produkt E,800,47,0.37
Produkt B,565,57,0.29
Produkt A,970,52,0.97
Produkt A,193,40,0.2
Produkt C,843,82,0.31
Produkt B,783,92,0.71
Produkt C,175,15,0.7
67,505,76,0.05
I Do pieca,709,88,0.17
Produkt D,459,44,0.67
Produkt C,809,99,0.3
Produkt A,203,91,0.82
I Do pieca,678,41,0.5
Produkt A,332,51,0.51
Produkt A,38,10,0.74
Produkt D,40,9,0.26
Produkt D,554,89,0.19
Produkt A,307,68,0.85
Produkt A,588,24,0.77
Produkt A,188,59,0.66
Produkt C,743,1,0.27
Produkt E,95,18,0.61
Produkt C,641,92,0.92
Produkt E,367,71,0.13
Produkt C,903,78,0.75
Produkt B,721,51,0.68
Produkt B,686,83,0.07
Produkt D,911,33,0.27
Produkt C,701,40,0.21
Produkt B,892,67,0.68
Produkt A,415,84,0.77
Produkt C,568,60,0.67
Produkt B,677,20,0.09
Produkt D,413,54,0.05
Produkt D,716,98,0.63
Produkt C,227,48,0.5
Produkt E,902,86,0.63
Produkt B,I Do pieca,64,0.01
Produkt B,996,40,0.35
Produkt D,444,Produkt D,0.99
Produkt E,891,72,0.3
Produkt C,143,95,0.4
Produkt B,827,74,0.87
Produkt B,296,85,0.56
Produkt E,Produkt C,20,0.01
Produkt A,106,96,0.06
Produkt B,529,64,0.45
Produkt C,328,52,0.25
Produkt D,574,11,0.31
Produkt C,530,Produkt A,1.0
Produkt D,871,69,0.59
Produkt C,608,50,0.87
Produkt B,754,100,0.71
Produkt D,848,35,0.07
Produkt A,394,11,0.87
I Do pieca,619,35,0.09
Produkt E,126,83,0.84
Produkt B,15,92,0.35
Produkt B,529,44,0.95
Produkt D,105,56,0.11
Produkt B,196,20,0.72
67,857,25,0.07
Produkt A,258,71,0.15
Produkt B,116,71,0.62
Produkt C,898,24,0.23
Produkt C,938,14,0.36
Produkt D,386,94,0.64
Produkt B,496,95,0.97
Produkt A,981,68,0.8
Produkt B,57,3,0.76
Produkt D,705,85,0.75
Produkt B,878,41,0.04
Produkt C,116,6,0.63
Produkt B,989,73,0.32
Produkt A,17,84,0.86
Produkt B,500,97,0.53
Produkt C,325,8,0.5
Produkt B,473,Produkt E,0.99
Produkt E,928,Produkt B,0.99
Produkt E,649,21,0.67
Produkt D,893,39,0.65
Produkt A,653,28,0.08
Produkt C,761,12,0.19
Produkt C,710,84,0.42
Produkt E,713,25,0.92
I Do pieca,424,39,0.25
Produkt D,539,13,0.77
Produkt D,181,100,0.29
Produkt A,31,90,0.32
I Do pieca,585,14,0.25
Produkt C,13,31,0.97
Produkt E,701,11,0.74
Produkt B,234,100,0.39
Produkt A,101,93,0.36
Produkt C,321,73,0.56
Produkt B,245,35,0.64
Produkt A,654,55,0.96
Produkt A,138,50,0.17
Produkt C,888,1,0.75
Produkt E,276,24,0.97
Produkt B,755,76,0.31
I Do pieca,525,89,0.48
Produkt B,535,84,0.91
Produkt A,539,27,0.98
Produkt D,975,86,0.26
Produkt D,824,84,0.24
I Do pieca,888,69,0.21
Produkt C,943,94,0.05
Produkt E,470,75,0.15
I Do pieca,412,63,0.84
Produkt D,751,6,0.07
Produkt B,970,64,0.03
Produkt B,251,29,0.54
Produkt C,499,28,0.72
Produkt C,205,56,0.81
Produkt B,878,77,0.1
67,156,65,0.75
Produkt C,541,7,0.63
Produkt D,927,9,0.06
Produkt A,726,9,0.7
Produkt A,695,35,0.88
Produkt C,374,76,0.76
Produkt C,994,54,0.95
Produkt C,858,60,0.21
Produkt D,465,51,0.08
Produkt B,324,64,0.4
Produkt B,495,54,0.83
Produkt B,261,9,0.76
I Do pieca,865,78,0.1
Produkt D,760,37,0.02
67,345,47,0.63
Produkt D,890,41,0.44
67,489,31,0.94
Produkt D,757,11,0.47
Produkt D,717,12,0.97
Produkt C,325,35,0.48
Produkt B,129,10,0.43
Produkt B,167,22,0.69
Produkt C,570,19,0.52
Produkt C,734,47,0.81
Produkt B,552,43,0.8
Produkt B,588,69,0.16
Produkt B,555,34,0.37
Produkt E,865,18,0.74
Produkt D,419,98,0.57
Produkt C,604,78,0.67
Produkt E,214,52,0.48
Produkt C,392,70,0.08
Produkt B,508,59,0.79
Produkt B,442,40,0.86
Produkt A,203,8,0.13
Produkt B,473,90,0.4
Produkt C,526,6,0.9
Produkt A,566,21,0.24
Produkt C,373,90,0.61
Produkt D,84,89,0.05
Produkt B,360,38,0.87
67,943,88,0.74
Produkt C,335,96,0.95
Produkt E,869,40,0.45
Produkt B,80,20,0.55
Produkt E,828,86,0.1
Produkt A,565,38,0.51
Produkt E,388,35,0.36
Produkt B,960,59,0.14
Produkt E,603,19,0.66
Produkt D,366,46,0.21
Produkt B,275,64,0.72
I Do pieca,886,39,0.46
Produkt B,61,79,0.25
Produkt C,198,5,0.39
Produkt C,985,63,0.78
Produkt B,234,75,0.85
Produkt D,253,9,0.74
I Do pieca,826,14,0.79
Produkt A,243,24,0.7
Produkt E,72,43,0.23
Produkt D,905,53,0.82
Produkt B,909,69,0.63
Produkt E,830,33,0.77
Produkt B,215,19,0.41
Produkt E,908,31,0.64
Produkt E,390,38,0.71
Produkt A,7,58,0.62
Produkt B,681,32,0.27
Produkt E,Produkt B,86,0.0
Produkt C,989,86,0.13
Produkt A,896,43,0.51
Produkt A,372,86,0.51
Produkt D,934,75,0.82
Produkt D,276,83,0.37
Produkt B,932,1,0.47
Produkt D,501,5,0.8
Produkt B,136,4,0.63
Produkt B,208,84,0.42
Produkt A,732,92,0.6
Produkt C,819,Produkt D,0.99
Produkt B,372,55,0.24
Produkt D,75,19,0.57
Produkt D,859,12,0.11
Produkt D,582,3,0.96
Produkt A,717,80,0.03
Produkt A,285,92,0.22
Produkt D,286,31,0.43
Produkt A,Produkt C,12,0.01
Produkt B,296,100,0.98
Produkt D,561,12,0.67
Produkt A,19,91,0.11
Produkt D,30,86,0.68
Produkt C,488,82,0.63
Produkt B,839,17,0.31
Produkt B,735,25,0.38
Produkt D,5,85,0.7
Produkt D,676,38,0.96
Produkt A,877,36,0.67
Produkt A,461,17,0.4
Produkt B,309,51,0.54
I Do pieca,136,24,0.72
Produkt B,54,89,0.44
Produkt D,367,42,0.46
Produkt A,456,50,0.97
Produkt C,269,30,0.22
Produkt B,Produkt A,74,0.01
I Do pieca,655,26,0.63
Produkt B,173,16,0.13
Produkt C,476,6,0.64
Produkt A,407,14,0.82
Produkt D,809,37,0.53
Produkt C,878,9,0.24
Produkt D,271,87,0.64
Produkt A,264,50,0.22
Produkt D,276,52,0.25
Produkt E,94,27,0.26
Produkt E,642,72,0.41
I Do pieca,488,44,0.84
Produkt C,306,96,0.21
Produkt D,351,24,0.75
Produkt C,626,80,0.12
Produkt C,554,63,0.33
Produkt B,544,15,0.24
Produkt A,721,74,0.64
Produkt D,767,97,0.41
Produkt A,649,10,0.66
Produkt C,28,100,0.26
Produkt A,898,98,0.56
Produkt D,896,24,0.56
Produkt B,337,26,0.58
Produkt D,414,28,0.92
Produkt D,392,6,0.84
Produkt D,246,8,0.41
Produkt A,445,63,0.85
Produkt D,45,46,0.15
Produkt D,514,1,0.27
Produkt B,126,67,0.54
Produkt A,946,72,0.06
Produkt D,558,68,0.07
Produkt E,185,23,0.28
Produkt B,477,34,0.06
Produkt A,253,63,0.1
Produkt E,862,39,0.61
Produkt D,749,26,0.08
Produkt D,8,26,0.69
Produkt A,245,17,0.23
Produkt B,543,48,0.4
Produkt D,170,79,0.71
Produkt A,83,27,0.17
Produkt C,53,3,0.92
Produkt D,402,64,0.43
Produkt A,467,62,0.86
Produkt B,667,84,0.97
Produkt A,635,22,0.45
Produkt B,832,100,0.62
Produkt E,674,70,0.96
Produkt D,513,77,0.82
Produkt B,582,39,0.25
Produkt D,182,74,0.16
Produkt A,888,86,0.99
Produkt C,864,52,0.8
Produkt A,202,68,0.46
Produkt D,856,61,0.23
Produkt D,214,68,0.27
I Do pieca,579,96,0.3
Produkt E,269,18,0.26
Produkt A,72,54,0.1
Produkt A,275,71,0.79
Produkt A,82,96,0.41
Produkt A,874,86,0.91
I Do pieca,744,35,0.7
Produkt D,968,Produkt C,0.99
I Do pieca,681,61,0.6
Produkt D,107,18,0.38
Produkt D,565,88,0.71
Produkt A,336,64,0.92
Produkt A,595,34,0.15
Produkt A,494,64,0.21
Produkt D,639,98,0.25
Produkt E,571,89,0.98
Produkt A,261,10,0.28
Produkt C,506,19,0.52
Produkt A,662,54,0.96
Produkt C,445,11,0.18
Produkt A,558,87,0.73
Produkt D,908,87,0.37
Produkt A,226,88,0.89
Produkt E,158,94,0.4
Produkt B,612,98,0.99
Produkt B,811,42,0.12
Produkt D,187,56,0.61
Produkt D,494,95,0.93
Produkt E,153,94,0.65
Produkt D,404,35,0.63
Produkt A,938,46,0.82
Produkt D,594,92,0.87
Produkt B,581,100,0.12
Produkt D,372,25,0.18
Produkt C,944,57,0.64
Produkt D,725,59,0.08
Produkt C,16,44,0.52
Produkt A,126,8,0.89
67,687,48,0.56
Produkt E,858,54,0.61
Produkt C,18,9,0.08
Produkt A,594,82,0.61
Produkt E,705,62,0.86
Produkt D,617,59,0.33
Produkt A,991,47,0.83
Produkt E,954,71,0.19
Produkt A,87,15,0.67
Produkt B,276,88,0.46
Produkt C,114,60,0.26
Produkt D,373,8,0.8
Produkt B,534,12,0.75
Produkt C,557,37,0.4
Produkt C,532,99,0.44
Produkt D,862,52,0.43
Produkt C,557,4,0.15
Produkt C,288,85,0.91
Produkt A,230,91,0.21
Produkt C,455,6,0.14
Produkt B,47,83,0.97
Produkt D,120,4,0.95
Produkt C,370,38,0.27
Produkt C,868,85,0.05
Produkt B,245,34,0.11
Produkt D,613,80,0.47
Produkt A,806,18,0.76
Produkt D,466,32,0.33
I Do pieca,700,61,0.35
Produkt A,454,66,0.71
Produkt E,328,2,0.74
Produkt B,650,67,0.9
Produkt D,Produkt B,15,0.01
Produkt C,439,74,0.77
Produkt A,219,56,0.65
Produkt A,79,20,0.23
Produkt D,315,93,0.81
Produkt B,375,38,0.33
Produkt C,935,72,0.52
Produkt A,855,27,0.99
I Do pieca,400,24,0.7
Produkt D,947,43,0.9
Produkt A,990,21,0.15
Produkt D,676,96,0.02
Produkt D,280,71,0.81
Produkt B,801,71,0.77
Produkt A,284,38,0.78
Produkt D,690,98,0.91
Produkt B,171,18,0.13
Produkt B,901,100,0.13
Produkt D,376,40,0.84
67,557,30,0.22
Produkt E,70,39,0.05
Produkt B,519,42,0.88
Produkt C,57,38,0.31
Produkt D,544,23,0.03
Produkt B,9,61,0.59
Produkt C,161,93,0.03
Produkt B,210,22,0.34
Produkt E,711,24,0.86
Produkt A,352,100,0.98
I Do pieca,375,7,0.25
Produkt A,634,26,0.28
Produkt A,961,58,0.54
Produkt E,670,85,0.9
Produkt C,297,85,0.92
Produkt D,845,22,0.09
Produkt D,153,79,0.23
Produkt B,892,38,0.35
Produkt B,776,38,0.15
Produkt B,969,66,0.37
Produkt C,538,76,0.99
Produkt B,422,4,0.37
Produkt C,245,43,0.25
Produkt D,260,61,0.21
Produkt A,737,91,0.69
Produkt E,861,6,0.08
Produkt C,49,59,0.87
Produkt A,109,18,0.94
Produkt E,45,16,0.18
Produkt D,306,82,0.97
Produkt D,591,68,0.2
Produkt D,799,43,0.69
Produkt B,419,86,0.84
Produkt B,476,87,0.45
Produkt C,114,91,0.81
I Do pieca,938,71,0.41
Produkt A,35,90,0.62
Produkt B,815,65,0.11
Produkt E,869,29,0.21
Produkt E,817,96,0.99
Produkt C,600,94,0.41
Produkt A,778,89,0.88
Produkt A,69,64,0.14
Produkt A,215,46,0.38
Produkt A,104,95,0.93
Produkt D,167,60,0.91
Produkt D,170,73,0.27
Produkt A,812,49,0.02
Produkt A,213,39,0.37
Produkt B,113,63,0.88
Produkt D,9,34,0.61
Produkt D,627,96,0.58
Produkt C,425,72,0.23
Produkt C,279,19,0.64
Produkt D,24,84,0.43
Produkt D,406,34,0.35
Produkt D,806,44,0.2
Produkt A,535,67,0.2
Produkt D,584,77,0.39
Produkt A,594,78,0.16
Produkt B,39,53,0.42
Produkt D,98,38,0.1
Produkt C,289,83,0.4
Produkt A,727,72,0.94
Produkt D,15,16,0.7
Produkt B,319,67,0.75
67,684,32,0.85
Produkt E,219,62,0.59
Produkt C,485,76,0.24
Produkt C,858,48,0.91
Produkt B,492,89,0.39
Produkt A,313,16,0.76
Produkt B,66,33,0.6
Produkt B,351,53,0.59
Produkt B,876,6,0.92
Produkt A,693,39,0.2
Produkt B,824,35,0.73
Produkt A,845,82,0.37
Produkt A,253,7,0.06
Produkt D,622,49,0.07
Produkt B,469,20,0.51
Produkt C,924,15,0.9
Produkt D,340,75,0.91
Produkt D,454,24,0.9
Produkt D,548,17,0.32
Produkt D,790,100,0.34
Produkt A,300,50,0.9
Produkt B,391,55,0.35
I Do pieca,485,13,0.89
Produkt B,233,41,0.01
Produkt C,147,97,0.32
Produkt D,560,54,0.15
Produkt A,65,27,0.43
Produkt D,138,22,0.98
Produkt A,764,25,0.97
I Do pieca,438,60,0.16
67,267,74,0.37
Produkt D,46,89,0.13
Produkt A,181,82,0.15
Produkt A,979,88,0.18
Produkt E,798,92,0.57
Produkt A,669,13,0.53
Produkt D,625,84,0.89
Produkt A,889,6,0.87
Produkt A,913,1,0.11
Produkt A,486,38,0.58
I Do pieca,246,19,0.92
Produkt B,156,78,0.67
67,427,16,0.06
Produkt D,488,4,0.98
Produkt C,65,11,0.73
Produkt A,965,29,0.62
I Do pieca,516,55,0.5
Produkt B,257,23,0.22
Produkt C,940,44,0.92
Produkt E,286,83,0.53
Produkt A,563,81,0.79
Produkt D,535,49,0.24
Produkt D,452,1,0.06
Produkt B,721,22,0.82
Produkt A,128,19,0.02
Produkt A,602,95,0.47
Produkt D,602,27,0.59
Produkt D,420,1,0.48
Produkt A,144,80,0.63
Produkt D,950,15,0.24
Produkt E,448,3,0.22
Produkt C,584,59,0.7
Produkt A,569,48,0.38
Produkt B,955,79,0.58
Produkt A,998,12,0.81
67,877,53,0.49
Produkt A,104,39,0.1
Produkt D,372,85,0.68
I Do pieca,771,26,0.3
Produkt C,922,72,0.37
Produkt B,25,38,0.71
Produkt A,32,53,0.27
Produkt B,818,5,0.1
Produkt A,904,45,0.6
Produkt D,702,97,0.53
Produkt A,368,5,0.05
Produkt E,80,85,0.43
Produkt C,431,31,0.75
Produkt B,790,48,0.03
Produkt E,479,95,0.62
Produkt B,197,60,0.39
Produkt C,625,81,0.03
Produkt A,926,68,0.22
Produkt A,506,32,0.3
Produkt E,697,28,0.72
Produkt A,41,7,0.46
Produkt A,164,50,0.38
Produkt E,345,56,0.8
Produkt A,805,52,0.58
Produkt B,248,91,0.83
Produkt C,855,24,0.15
Produkt E,734,42,0.5
Produkt C,801,32,0.49
Produkt A,768,15,0.85
Produkt B,875,85,0.19
Produkt D,510,75,0.46
Produkt A,678,99,0.72
Produkt C,917,21,0.74
Produkt A,19,54,0.9
Produkt A,729,5,0.88
Produkt B,570,43,0.96
Produkt B,706,82,0.17
Produkt D,954,87,0.89
Produkt A,696,62,0.82
Produkt E,389,Produkt C,0.99
Produkt C,96,4,0.77
Produkt E,682,16,0.19
Produkt D,849,49,0.37
Produkt B,885,54,0.35
Produkt A,675,60,0.11
I Do pieca,226,9,0.31
Produkt D,756,65,0.67
Produkt B,126,58,0.35
Produkt E,708,69,0.74
Produkt C,801,66,0.9
Produkt D,452,73,0.79
Produkt A,814,82,0.05
67,422,70,0.4
Produkt A,96,34,0.12
Produkt A,862,20,0.45
Produkt C,778,Produkt B,0.99
Produkt B,980,88,0.27
Produkt B,876,74,0.06
Produkt A,957,39,0.15
Produkt D,232,77,0.5
Produkt E,838,59,0.92
I Do pieca,429,55,0.47
Produkt D,119,59,0.62
Produkt A,408,51,0.98
Produkt C,811,6,0.52
I Do pieca,946,83,0.25
I Do pieca,24,51,0.52
Produkt C,370,93,0.42
Produkt A,321,92,0.38
Produkt B,507,71,0.16
Produkt A,963,52,0.53
Produkt A,115,70,0.43
Produkt C,983,24,0.05
Produkt B,430,7,0.64
Produkt A,733,30,0.84
Produkt B,502,62,0.93
Produkt B,748,89,0.8
Produkt B,875,90,0.08
Produkt B,983,64,0.43
Produkt C,713,47,0.01
Produkt B,876,98,0.68
Produkt D,113,87,0.67
Produkt E,586,3,0.03
Produkt A,842,5,0.79
Produkt E,328,43,0.31
Produkt C,907,81,0.81
Produkt A,511,29,0.06
Produkt D,22,31,0.15
Produkt C,51,73,0.66
Produkt A,595,Produkt C,0.99
Produkt A,877,61,0.55
Produkt C,749,92,0.44
Produkt A,885,9,0.02
Produkt A,588,57,0.03
Produkt B,242,25,0.08
Produkt D,781,22,0.87
Produkt D,919,99,0.67
Produkt C,889,17,0.98
Produkt A,30,23,0.31
Produkt C,71,53,0.15
Produkt E,898,35,0.54
Produkt D,916,29,0.46
Produkt E,881,82,0.48
Produkt C,922,1,0.96
Produkt C,160,37,0.37
Produkt B,953,100,0.27
Produkt A,961,7,0.67
Produkt B,245,98,0.25
Produkt A,993,71,0.89
Produkt D,164,60,0.64
Produkt E,234,50,0.89
I Do pieca,697,61,0.63
67,220,80,0.06
Produkt B,536,90,0.85
Produkt A,90,79,0.55
Produkt A,348,63,0.95
Produkt C,12,94,0.62
Produkt A,814,78,0.14
Produkt D,258,85,0.98
Produkt B,759,87,0.66
Produkt B,520,72,0.79
Produkt A,971,5,0.23
Produkt C,12,42,0.62
Produkt C,901,74,0.8
Produkt C,495,92,0.41
Produkt A,991,72,0.37
Produkt D,90,14,0.55
Produkt B,753,89,0.69
Produkt A,44,41,0.57
Produkt B,961,10,0.61
I Do pieca,733,18,0.54
Produkt A,775,47,0.17
Produkt C,101,23,0.4
Produkt C,582,43,0.13
Produkt A,149,38,0.23
Produkt A,686,8,0.54
Produkt A,612,12,0.18
Produkt C,136,19,0.32
Produkt B,116,88,0.39
Produkt D,837,70,0.72
Produkt B,107,95,0.35
Produkt D,349,74,0.02
Produkt B,210,73,0.43
Produkt C,531,7,0.96
Produkt E,715,89,0.79
Produkt A,203,10,0.16
I Do pieca,618,80,0.72
Produkt A,351,28,0.8
Produkt C,642,75,0.65
Produkt D,191,66,0.75
Produkt C,44,93,0.65
Produkt B,331,32,0.23
Produkt B,370,3,0.95
Produkt A,790,21,0.26
Produkt C,492,96,0.07
Produkt E,556,48,0.52
I Do pieca,287,97,0.72
Produkt A,78,92,0.05
Produkt A,566,16,0.65
Produkt B,875,23,0.68
Produkt B,647,73,0.51
Produkt D,485,44,0.14
Produkt C,693,27,0.44
Produkt E,420,77,0.05
Produkt B,972,85,0.55
Produkt C,904,29,0.25
Produkt D,656,25,0.97
Produkt C,156,66,0.76
Produkt C,227,13,0.06
Produkt D,817,37,0.79
Produkt D,25,25,0.6
Produkt A,657,5,0.35
Produkt E,476,24,0.11
Produkt C,400,35,0.3
Produkt D,476,75,0.37
I Do pieca,178,11,0.55
Produkt E,57,20,0.28
Produkt B,122,18,0.19
Produkt A,672,66,0.3
Produkt C,253,4,0.25
Produkt A,840,3,0.94
Produkt E,661,44,0.49
Produkt C,121,52,0.99
Produkt C,422,47,0.94
Produkt E,828,87,0.19
Produkt B,269,64,0.36
Produkt E,871,43,0.19
Produkt C,176,9,0.6
Produkt D,917,91,0.88
Produkt B,445,57,0.49
Produkt E,725,82,0.8
67,606,36,0.67
I Do pieca,850,49,0.88
Produkt C,224,80,0.82
I Do pieca,20,30,0.79
Produkt C,451,50,0.48
Produkt E,332,55,0.56
Produkt C,398,83,0.4
Produkt D,561,85,0.95
Produkt C,431,77,0.81
Produkt D,295,35,0.44
Produkt A,757,98,0.65
Produkt A,179,35,0.09
I Do pieca,364,66,0.26
Produkt A,958,8,0.93
Produkt A,849,5,0.49
Produkt C,365,13,0.37
I Do pieca,398,34,0.52
Produkt A,265,59,0.55
Produkt C,286,43,0.37
Produkt B,412,35,0.59
Produkt A,114,33,0.26
Produkt C,378,44,0.74
Produkt E,121,48,0.28
Produkt D,431,42,0.74
Produkt A,533,12,0.12
Produkt D,67,49,0.06
Produkt C,658,82,0.75
Produkt D,348,93,0.12
Produkt D,546,99,0.13
Produkt B,445,66,0.22
Produkt E,654,11,0.87
Produkt B,625,89,0.1
Produkt A,117,44,0.74
Produkt D,972,99,0.67
I Do pieca,124,65,0.17
Produkt C,245,77,0.07
Produkt D,435,82,0.76
Produkt B,411,19,0.06
Produkt E,587,86,0.74
Produkt B,343,9,0.78
Produkt E,499,61,0.17
Produkt C,994,39,0.12
Produkt C,941,14,0.05
Produkt C,553,19,0.62
Produkt B,540,76,0.75
Produkt E,226,95,0.41
Produkt D,869,56,0.27
Produkt D,709,66,0.45
Produkt D,482,18,0.37
Produkt C,90,11,0.09
Produkt D,976,89,0.39
Produkt B,789,29,0.44
Produkt D,70,62,0.71
Produkt E,906,3,0.94
Produkt D,195,29,0.71
Produkt E,578,63,0.61
Produkt B,836,30,0.38
Produkt A,43,75,0.44
Produkt D,31,94,0.66
Produkt A,317,20,0.5
Produkt A,941,95,0.31
Produkt C,227,49,0.96
Produkt D,129,67,0.99
Produkt D,800,63,0.68
Produkt A,835,65,0.31
Produkt A,333,9,0.48
Produkt A,718,84,0.98
I Do pieca,878,78,0.44
Produkt A,21,34,0.79
Produkt A,311,62,0.41
Produkt A,197,33,0.84
Produkt E,957,67,0.71
Produkt C,865,12,0.72
Produkt D,49,76,0.32
Produkt A,485,48,0.12
67,404,87,0.6
Produkt B,860,100,0.46
Produkt C,252,37,0.77
Produkt E,899,87,0.34
Produkt D,799,81,0.57
I Do pieca,391,90,0.49
Produkt A,912,90,0.6
Produkt C,307,29,0.51
Produkt A,538,53,0.8
Produkt D,254,92,0.04
Produkt C,938,77,0.91
Produkt B,853,60,0.53
Produkt A,486,74,0.14
Produkt A,353,87,0.45
Produkt A,459,29,0.85
Produkt A,578,68,0.39
Produkt B,907,10,0.46
Produkt A,156,17,0.22
